Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Ile-de-France;Donnees temps reel;01/06/2022;00:00;6384;13;-;21;0;6;-;173;ND
Ile-de-France;Donnees temps reel;01/06/2022;00:15;6259;11;-;17;0;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;00:30;6042;12;-;14;0;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;00:45;5817;12;-;11;0;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;01:00;5606;12;-;10;0;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;01:15;5430;13;-;10;0;6;-;169;ND
Ile-de-France;Donnees temps reel;01/06/2022;01:30;5296;13;-;10;0;6;-;174;ND
Ile-de-France;Donnees temps reel;01/06/2022;01:45;5175;13;-;10;0;6;-;175;ND
Ile-de-France;Donnees temps reel;01/06/2022;02:00;5077;13;-;10;0;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;02:15;5152;13;-;8;0;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;02:30;5066;13;-;7;0;6;-;173;ND
Ile-de-France;Donnees temps reel;01/06/2022;02:45;4943;13;-;7;0;6;-;174;ND
Ile-de-France;Donnees temps reel;01/06/2022;03:00;4928;13;-;7;0;6;-;173;ND
Ile-de-France;Donnees temps reel;01/06/2022;03:15;4834;13;-;7;0;6;-;174;ND
Ile-de-France;Donnees temps reel;01/06/2022;03:30;4795;13;-;7;0;6;-;174;ND
Ile-de-France;Donnees temps reel;01/06/2022;03:45;4788;13;-;7;0;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;04:00;4789;12;-;7;0;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;04:15;4789;12;-;8;0;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;04:30;4804;12;-;8;0;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;04:45;4864;13;-;7;0;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;05:00;4919;12;-;7;0;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;05:15;5045;12;-;7;0;6;-;173;ND
Ile-de-France;Donnees temps reel;01/06/2022;05:30;5154;12;-;6;0;6;-;174;ND
Ile-de-France;Donnees temps reel;01/06/2022;05:45;5203;12;-;7;0;6;-;170;ND
Ile-de-France;Donnees temps reel;01/06/2022;06:00;5261;12;-;6;1;6;-;178;ND
Ile-de-France;Donnees temps reel;01/06/2022;06:15;5492;11;-;7;3;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;06:30;5657;12;-;7;6;6;-;175;ND
Ile-de-France;Donnees temps reel;01/06/2022;06:45;5887;12;-;7;8;6;-;174;ND
Ile-de-France;Donnees temps reel;01/06/2022;07:00;6060;12;-;7;11;6;-;174;ND
Ile-de-France;Donnees temps reel;01/06/2022;07:15;6362;12;-;7;16;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;07:30;6414;12;-;7;21;6;-;168;ND
Ile-de-France;Donnees temps reel;01/06/2022;07:45;6754;11;-;7;27;6;-;174;ND
Ile-de-France;Donnees temps reel;01/06/2022;08:00;6842;11;-;7;32;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;08:15;7042;11;-;7;40;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;08:30;7242;10;-;7;48;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;08:45;7332;11;-;7;56;6;-;172;ND
Ile-de-France;Donnees temps reel;01/06/2022;09:00;7435;11;-;8;63;6;-;174;ND
Ile-de-France;Donnees temps reel;01/06/2022;09:15;7417;1;-;8;72;6;-;175;ND
Ile-de-France;Donnees temps reel;01/06/2022;09:30;7484;1;-;8;83;6;-;175;ND
Ile-de-France;Donnees temps reel;01/06/2022;09:45;7499;0;-;8;86;6;-;175;ND
Ile-de-France;Donnees temps reel;01/06/2022;10:00;7478;1;-;8;91;6;-;173;ND
Ile-de-France;Donnees temps reel;01/06/2022;10:15;7465;3;-;8;98;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;10:30;7465;6;-;8;109;6;-;170;ND
Ile-de-France;Donnees temps reel;01/06/2022;10:45;7586;9;-;8;114;6;-;170;ND
Ile-de-France;Donnees temps reel;01/06/2022;11:00;7501;10;-;8;122;6;-;171;ND
Ile-de-France;Donnees temps reel;01/06/2022;11:15;7604;9;-;7;124;6;-;168;ND
Ile-de-France;Donnees temps reel;01/06/2022;11:30;7652;10;-;7;132;6;-;164;ND
Ile-de-France;Donnees temps reel;01/06/2022;11:45;7607;11;-;7;130;6;-;164;ND
Ile-de-France;Donnees temps reel;01/06/2022;12:00;7675;11;-;7;136;6;-;166;ND
Ile-de-France;Donnees temps reel;01/06/2022;12:15;7842;11;-;7;141;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;12:30;7782;11;-;7;135;6;-;167;ND
Ile-de-France;Donnees temps reel;01/06/2022;12:45;7788;12;-;7;137;6;-;166;ND
Ile-de-France;Donnees temps reel;01/06/2022;13:00;7748;12;-;6;132;6;-;166;ND
Ile-de-France;Donnees temps reel;01/06/2022;13:15;7650;12;-;7;123;6;-;164;ND
Ile-de-France;Donnees temps reel;01/06/2022;13:30;7678;11;-;7;138;6;-;164;ND
Ile-de-France;Donnees temps reel;01/06/2022;13:45;7493;11;-;7;121;6;-;162;ND
Ile-de-France;Donnees temps reel;01/06/2022;14:00;7563;12;-;6;132;6;-;162;ND
Ile-de-France;Donnees temps reel;01/06/2022;14:15;7657;10;-;7;130;6;-;163;ND
Ile-de-France;Donnees temps reel;01/06/2022;14:30;7548;12;-;7;133;6;-;163;ND
Ile-de-France;Donnees temps reel;01/06/2022;14:45;7403;12;-;7;131;6;-;164;ND
Ile-de-France;Donnees temps reel;01/06/2022;15:00;7417;11;-;7;134;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;15:15;7304;12;-;7;123;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;15:30;7202;11;-;6;119;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;15:45;7241;11;-;7;122;6;-;164;ND
Ile-de-France;Donnees temps reel;01/06/2022;16:00;7256;11;-;7;116;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;16:15;7157;10;-;6;122;6;-;166;ND
Ile-de-France;Donnees temps reel;01/06/2022;16:30;7167;11;-;7;114;6;-;163;ND
Ile-de-France;Donnees temps reel;01/06/2022;16:45;7117;11;-;7;109;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;17:00;7088;11;-;6;97;6;-;167;ND
Ile-de-France;Donnees temps reel;01/06/2022;17:15;7130;12;-;7;97;6;-;168;ND
Ile-de-France;Donnees temps reel;01/06/2022;17:30;7093;12;-;8;90;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;17:45;7074;11;-;7;81;6;-;166;ND
Ile-de-France;Donnees temps reel;01/06/2022;18:00;7229;10;-;8;76;6;-;164;ND
Ile-de-France;Donnees temps reel;01/06/2022;18:15;7120;11;-;7;71;6;-;162;ND
Ile-de-France;Donnees temps reel;01/06/2022;18:30;7277;11;-;8;64;6;-;163;ND
Ile-de-France;Donnees temps reel;01/06/2022;18:45;7309;11;-;7;55;6;-;158;ND
Ile-de-France;Donnees temps reel;01/06/2022;19:00;7397;10;-;7;46;6;-;158;ND
Ile-de-France;Donnees temps reel;01/06/2022;19:15;7389;10;-;8;39;6;-;158;ND
Ile-de-France;Donnees temps reel;01/06/2022;19:30;7328;10;-;7;34;6;-;157;ND
Ile-de-France;Donnees temps reel;01/06/2022;19:45;7418;10;-;7;27;6;-;159;ND
Ile-de-France;Donnees temps reel;01/06/2022;20:00;7271;10;-;8;21;6;-;158;ND
Ile-de-France;Donnees temps reel;01/06/2022;20:15;7202;10;-;8;16;6;-;158;ND
Ile-de-France;Donnees temps reel;01/06/2022;20:30;7109;10;-;8;12;6;-;160;ND
Ile-de-France;Donnees temps reel;01/06/2022;20:45;6967;11;-;12;9;6;-;158;ND
Ile-de-France;Donnees temps reel;01/06/2022;21:00;6857;11;-;17;5;6;-;160;ND
Ile-de-France;Donnees temps reel;01/06/2022;21:15;6804;10;-;18;4;6;-;163;ND
Ile-de-France;Donnees temps reel;01/06/2022;21:30;6653;11;-;22;3;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;21:45;6493;11;-;26;2;6;-;164;ND
Ile-de-France;Donnees temps reel;01/06/2022;22:00;6610;10;-;31;1;6;-;166;ND
Ile-de-France;Donnees temps reel;01/06/2022;22:15;6600;11;-;27;1;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;22:30;6716;11;-;27;1;6;-;164;ND
Ile-de-France;Donnees temps reel;01/06/2022;22:45;6941;10;-;37;0;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;23:00;6919;11;-;51;0;6;-;166;ND
Ile-de-France;Donnees temps reel;01/06/2022;23:15;6843;11;-;53;0;6;-;165;ND
Ile-de-France;Donnees temps reel;01/06/2022;23:30;6618;11;-;52;0;6;-;167;ND
Ile-de-France;Donnees temps reel;01/06/2022;23:45;6551;11;-;60;0;6;-;168;ND
Ile-de-France;Donnees temps reel;02/06/2022;00:00;6440;11;-;64;0;6;-;165;ND
Ile-de-France;Donnees temps reel;02/06/2022;00:15;6113;11;-;56;0;6;-;165;ND
Ile-de-France;Donnees temps reel;02/06/2022;00:30;6054;11;-;57;0;6;-;167;ND
Ile-de-France;Donnees temps reel;02/06/2022;00:45;5839;11;-;61;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;01:00;5622;12;-;63;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;01:15;5536;12;-;62;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;01:30;5256;12;-;56;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;01:45;5274;11;-;51;0;6;-;165;ND
Ile-de-France;Donnees temps reel;02/06/2022;02:00;5154;12;-;47;0;6;-;165;ND
Ile-de-France;Donnees temps reel;02/06/2022;02:15;5093;12;-;48;0;6;-;164;ND
Ile-de-France;Donnees temps reel;02/06/2022;02:30;4991;11;-;51;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;02:45;4949;12;-;51;0;6;-;167;ND
Ile-de-France;Donnees temps reel;02/06/2022;03:00;4901;12;-;53;0;6;-;167;ND
Ile-de-France;Donnees temps reel;02/06/2022;03:15;4778;12;-;50;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;03:30;4820;12;-;51;0;6;-;164;ND
Ile-de-France;Donnees temps reel;02/06/2022;03:45;4737;12;-;58;0;6;-;165;ND
Ile-de-France;Donnees temps reel;02/06/2022;04:00;4719;12;-;55;0;6;-;165;ND
Ile-de-France;Donnees temps reel;02/06/2022;04:15;4740;12;-;56;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;04:30;4741;13;-;52;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;04:45;4794;13;-;53;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;05:00;4807;13;-;57;0;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;05:15;4916;13;-;57;0;6;-;163;ND
Ile-de-France;Donnees temps reel;02/06/2022;05:30;4878;13;-;59;0;6;-;165;ND
Ile-de-France;Donnees temps reel;02/06/2022;05:45;5079;13;-;58;0;6;-;167;ND
Ile-de-France;Donnees temps reel;02/06/2022;06:00;5107;12;-;61;1;6;-;166;ND
Ile-de-France;Donnees temps reel;02/06/2022;06:15;5427;12;-;56;3;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;06:30;5576;12;-;53;6;6;-;173;ND
Ile-de-France;Donnees temps reel;02/06/2022;06:45;5729;12;-;47;8;6;-;174;ND
Ile-de-France;Donnees temps reel;02/06/2022;07:00;5907;11;-;51;11;6;-;173;ND
Ile-de-France;Donnees temps reel;02/06/2022;07:15;6323;12;-;47;15;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;07:30;6540;13;-;41;19;6;-;170;ND
Ile-de-France;Donnees temps reel;02/06/2022;07:45;6702;13;-;34;24;6;-;174;ND
Ile-de-France;Donnees temps reel;02/06/2022;08:00;6903;12;-;31;28;6;-;170;ND
Ile-de-France;Donnees temps reel;02/06/2022;08:15;7010;12;-;32;34;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;08:30;7112;12;-;25;41;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;08:45;7140;11;-;21;47;6;-;172;ND
Ile-de-France;Donnees temps reel;02/06/2022;09:00;7321;11;-;21;52;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;09:15;7345;11;-;21;44;6;-;170;ND
Ile-de-France;Donnees temps reel;02/06/2022;09:30;7312;12;-;23;55;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;09:45;7351;12;-;28;61;6;-;172;ND
Ile-de-France;Donnees temps reel;02/06/2022;10:00;7371;12;-;30;68;6;-;169;ND
Ile-de-France;Donnees temps reel;02/06/2022;10:15;7283;11;-;26;100;6;-;172;ND
Ile-de-France;Donnees temps reel;02/06/2022;10:30;7423;12;-;28;104;6;-;169;ND
Ile-de-France;Donnees temps reel;02/06/2022;10:45;7415;12;-;30;111;6;-;170;ND
Ile-de-France;Donnees temps reel;02/06/2022;11:00;7436;12;-;39;115;6;-;169;ND
Ile-de-France;Donnees temps reel;02/06/2022;11:15;7420;11;-;45;118;6;-;168;ND
Ile-de-France;Donnees temps reel;02/06/2022;11:30;7483;12;-;42;120;6;-;167;ND
Ile-de-France;Donnees temps reel;02/06/2022;11:45;7419;11;-;42;116;6;-;163;ND
Ile-de-France;Donnees temps reel;02/06/2022;12:00;7641;10;-;34;126;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;12:15;7641;11;-;33;106;6;-;172;ND
Ile-de-France;Donnees temps reel;02/06/2022;12:30;7710;11;-;30;107;6;-;177;ND
Ile-de-France;Donnees temps reel;02/06/2022;12:45;7586;12;-;28;110;6;-;168;ND
Ile-de-France;Donnees temps reel;02/06/2022;13:00;7578;12;-;25;111;6;-;173;ND
Ile-de-France;Donnees temps reel;02/06/2022;13:15;7530;12;-;28;114;6;-;170;ND
Ile-de-France;Donnees temps reel;02/06/2022;13:30;7517;12;-;30;113;6;-;169;ND
Ile-de-France;Donnees temps reel;02/06/2022;13:45;7448;12;-;27;113;6;-;170;ND
Ile-de-France;Donnees temps reel;02/06/2022;14:00;7377;11;-;26;112;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;14:15;7379;11;-;29;121;6;-;168;ND
Ile-de-France;Donnees temps reel;02/06/2022;14:30;7315;11;-;30;117;6;-;167;ND
Ile-de-France;Donnees temps reel;02/06/2022;14:45;7230;11;-;23;115;6;-;170;ND
Ile-de-France;Donnees temps reel;02/06/2022;15:00;7277;12;-;25;113;6;-;167;ND
Ile-de-France;Donnees temps reel;02/06/2022;15:15;7074;11;-;20;94;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;15:30;7090;10;-;22;107;6;-;168;ND
Ile-de-France;Donnees temps reel;02/06/2022;15:45;7033;11;-;21;102;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;16:00;7092;10;-;19;99;6;-;168;ND
Ile-de-France;Donnees temps reel;02/06/2022;16:15;6992;10;-;22;109;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;16:30;7011;11;-;17;108;6;-;172;ND
Ile-de-France;Donnees temps reel;02/06/2022;16:45;7043;11;-;21;102;6;-;168;ND
Ile-de-France;Donnees temps reel;02/06/2022;17:00;7053;11;-;16;92;6;-;172;ND
Ile-de-France;Donnees temps reel;02/06/2022;17:15;7042;11;-;18;103;6;-;173;ND
Ile-de-France;Donnees temps reel;02/06/2022;17:30;7161;10;-;18;94;6;-;172;ND
Ile-de-France;Donnees temps reel;02/06/2022;17:45;7096;12;-;12;84;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;18:00;7191;11;-;13;76;6;-;173;ND
Ile-de-France;Donnees temps reel;02/06/2022;18:15;7174;11;-;13;69;6;-;176;ND
Ile-de-France;Donnees temps reel;02/06/2022;18:30;7288;11;-;15;63;6;-;181;ND
Ile-de-France;Donnees temps reel;02/06/2022;18:45;7354;11;-;13;53;6;-;176;ND
Ile-de-France;Donnees temps reel;02/06/2022;19:00;7327;11;-;16;46;6;-;177;ND
Ile-de-France;Donnees temps reel;02/06/2022;19:15;7372;11;-;16;36;6;-;180;ND
Ile-de-France;Donnees temps reel;02/06/2022;19:30;7288;11;-;20;32;6;-;181;ND
Ile-de-France;Donnees temps reel;02/06/2022;19:45;7296;11;-;21;25;6;-;177;ND
Ile-de-France;Donnees temps reel;02/06/2022;20:00;7134;11;-;22;18;6;-;174;ND
Ile-de-France;Donnees temps reel;02/06/2022;20:15;7130;11;-;24;16;6;-;177;ND
Ile-de-France;Donnees temps reel;02/06/2022;20:30;6977;11;-;25;12;6;-;178;ND
Ile-de-France;Donnees temps reel;02/06/2022;20:45;6683;10;-;30;9;6;-;178;ND
Ile-de-France;Donnees temps reel;02/06/2022;21:00;6715;12;-;32;5;6;-;176;ND
Ile-de-France;Donnees temps reel;02/06/2022;21:15;6622;12;-;33;4;6;-;172;ND
Ile-de-France;Donnees temps reel;02/06/2022;21:30;6384;11;-;39;3;6;-;172;ND
Ile-de-France;Donnees temps reel;02/06/2022;21:45;6346;11;-;43;2;6;-;174;ND
Ile-de-France;Donnees temps reel;02/06/2022;22:00;6434;12;-;50;1;6;-;171;ND
Ile-de-France;Donnees temps reel;02/06/2022;22:15;6453;12;-;50;1;6;-;174;ND
Ile-de-France;Donnees temps reel;02/06/2022;22:30;6519;12;-;46;1;6;-;173;ND
Ile-de-France;Donnees temps reel;02/06/2022;22:45;6820;11;-;48;0;6;-;195;ND
Ile-de-France;Donnees temps reel;02/06/2022;23:00;6725;11;-;51;0;6;-;177;ND
Ile-de-France;Donnees temps reel;02/06/2022;23:15;6632;12;-;47;0;6;-;176;ND
Ile-de-France;Donnees temps reel;02/06/2022;23:30;6497;12;-;52;0;6;-;176;ND
Ile-de-France;Donnees temps reel;02/06/2022;23:45;6385;12;-;54;0;6;-;171;ND
Ile-de-France;Donnees temps reel;03/06/2022;00:00;6242;11;-;57;0;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;00:15;6171;12;-;57;0;6;-;175;ND
Ile-de-France;Donnees temps reel;03/06/2022;00:30;5906;12;-;51;0;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;00:45;5652;12;-;47;0;6;-;172;ND
Ile-de-France;Donnees temps reel;03/06/2022;01:00;5466;12;-;54;0;6;-;175;ND
Ile-de-France;Donnees temps reel;03/06/2022;01:15;5342;13;-;63;0;6;-;173;ND
Ile-de-France;Donnees temps reel;03/06/2022;01:30;5157;12;-;64;0;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;01:45;5082;13;-;61;0;6;-;175;ND
Ile-de-France;Donnees temps reel;03/06/2022;02:00;5012;12;-;53;0;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;02:15;4962;12;-;48;0;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;02:30;4913;12;-;44;0;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;02:45;4834;11;-;40;0;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;03:00;4717;12;-;37;0;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;03:15;4742;12;-;35;0;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;03:30;4645;12;-;32;0;6;-;178;ND
Ile-de-France;Donnees temps reel;03/06/2022;03:45;4672;13;-;33;0;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;04:00;4626;12;-;32;0;6;-;178;ND
Ile-de-France;Donnees temps reel;03/06/2022;04:15;4652;11;-;31;0;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;04:30;4621;11;-;30;0;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;04:45;4695;11;-;30;0;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;05:00;4763;12;-;25;0;6;-;181;ND
Ile-de-France;Donnees temps reel;03/06/2022;05:15;4860;12;-;26;0;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;05:30;4886;13;-;28;0;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;05:45;4933;13;-;25;0;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;06:00;5040;13;-;24;2;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;06:15;5247;13;-;22;3;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;06:30;5467;11;-;20;5;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;06:45;5450;12;-;18;7;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;07:00;5765;12;-;17;9;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;07:15;6182;12;-;18;12;6;-;172;ND
Ile-de-France;Donnees temps reel;03/06/2022;07:30;6280;12;-;19;16;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;07:45;6579;11;-;17;20;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;08:00;6713;12;-;14;23;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;08:15;6814;12;-;13;23;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;08:30;6922;11;-;13;30;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;08:45;7170;12;-;10;33;6;-;180;ND
Ile-de-France;Donnees temps reel;03/06/2022;09:00;7076;12;-;9;40;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;09:15;7272;12;-;8;40;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;09:30;7364;12;-;8;47;6;-;178;ND
Ile-de-France;Donnees temps reel;03/06/2022;09:45;7393;11;-;7;55;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;10:00;7359;11;-;7;62;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;10:15;7345;13;-;12;49;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;10:30;7408;41;-;10;60;6;-;175;ND
Ile-de-France;Donnees temps reel;03/06/2022;10:45;7445;182;-;8;66;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;11:00;7528;174;-;8;73;6;-;172;ND
Ile-de-France;Donnees temps reel;03/06/2022;11:15;7426;174;-;8;77;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;11:30;7468;175;-;8;72;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;11:45;7608;176;-;10;79;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;12:00;7678;176;-;10;81;6;-;181;ND
Ile-de-France;Donnees temps reel;03/06/2022;12:15;7724;177;-;8;74;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;12:30;7769;155;-;7;79;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;12:45;7749;12;-;7;81;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;13:00;7710;12;-;7;88;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;13:15;7753;12;-;7;78;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;13:30;7613;12;-;7;74;6;-;175;ND
Ile-de-France;Donnees temps reel;03/06/2022;13:45;7593;12;-;7;82;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;14:00;7564;12;-;7;87;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;14:15;7573;11;-;7;67;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;14:30;7401;11;-;7;69;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;14:45;7306;12;-;7;67;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;15:00;7289;11;-;7;63;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;15:15;7230;10;-;8;50;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;15:30;7168;12;-;7;49;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;15:45;7126;11;-;7;47;6;-;180;ND
Ile-de-France;Donnees temps reel;03/06/2022;16:00;7027;10;-;8;49;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;16:15;7116;10;-;6;36;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;16:30;7007;10;-;6;37;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;16:45;7061;11;-;6;35;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;17:00;7032;11;-;7;36;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;17:15;7081;11;-;7;30;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;17:30;7020;11;-;7;29;6;-;175;ND
Ile-de-France;Donnees temps reel;03/06/2022;17:45;7015;12;-;7;28;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;18:00;7079;10;-;7;29;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;18:15;7204;10;-;7;26;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;18:30;7063;10;-;7;24;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;18:45;7249;9;-;7;21;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;19:00;7208;10;-;6;18;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;19:15;7151;11;-;7;18;6;-;175;ND
Ile-de-France;Donnees temps reel;03/06/2022;19:30;7097;10;-;10;14;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;19:45;7218;10;-;9;12;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;20:00;7016;10;-;11;9;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;20:15;7068;10;-;13;13;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;20:30;6734;11;-;13;11;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;20:45;6564;12;-;14;8;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;21:00;6580;12;-;16;5;6;-;175;ND
Ile-de-France;Donnees temps reel;03/06/2022;21:15;6480;11;-;19;4;6;-;176;ND
Ile-de-France;Donnees temps reel;03/06/2022;21:30;6311;11;-;21;3;6;-;174;ND
Ile-de-France;Donnees temps reel;03/06/2022;21:45;6273;11;-;25;2;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;22:00;6371;12;-;26;1;6;-;177;ND
Ile-de-France;Donnees temps reel;03/06/2022;22:15;6395;11;-;23;1;6;-;178;ND
Ile-de-France;Donnees temps reel;03/06/2022;22:30;6513;11;-;30;1;6;-;179;ND
Ile-de-France;Donnees temps reel;03/06/2022;22:45;6781;11;-;34;0;6;-;180;ND
Ile-de-France;Donnees temps reel;03/06/2022;23:00;6661;12;-;32;0;6;-;172;ND
Ile-de-France;Donnees temps reel;03/06/2022;23:15;6691;10;-;36;0;6;-;172;ND
Ile-de-France;Donnees temps reel;03/06/2022;23:30;6437;10;-;32;0;6;-;173;ND
Ile-de-France;Donnees temps reel;03/06/2022;23:45;6401;11;-;26;0;6;-;171;ND
Ile-de-France;Donnees temps reel;04/06/2022;00:00;6327;11;-;26;0;6;-;173;ND
Ile-de-France;Donnees temps reel;04/06/2022;00:15;6238;12;-;26;0;6;-;174;ND
